,Unnamed: 0,date,text,nagisa_score,laura_score,elisa_score,concordancy,id,text_clean,text_normalized
0,0,2018-04-10 00:46:55,"Aiiiiiiiiii que Ódio , devolvam meu Clarick . #OOutroLadoDoParaiso",-1,-1,-1,-1,0,"Aiiiiiiiiii que Ódio , devolvam meu Clarick .","Ai que Ódio , devolvam meu Clarice . "
1,1,2018-04-13 00:38:43,"A Walcyra já fez tanta merda nessa novela que não custava nada matar a coach de Taubaté. 
Por favorzinho, Walcyra. 
#OOutroLadoDoParaíso",-1,-1,-1,-1,1,"A Walcyra já fez tanta merda nessa novela que não custava nada matar a coach de Taubaté. 
Por favorzinho, Walcyra.","A Calcara já fez tanta merda nessa novela que não custava nada matar a Coco de Taubaté . Por favorzinho , Calcara . "
2,2,2018-04-12 12:58:49,Decepção me define com oq acabo de ler espero qseja mentira  clara vai se casar SÓ no último capítulo e ainda vão f… https://t.co/EJ4jGi1pBy,-1,-1,-1,-1,2,Decepção me define com oq acabo de ler espero qseja mentira  clara vai se casar SÓ no último capítulo e ainda vão f…,Decepção me define com o que acabo de ler espero sejas mentira clara vai se casar SÓ no último capítulo e ainda vão f… 
3,3,2018-04-13 00:44:37,#OOutroLadoDoParaiso O autor devia nos poupar de ver essas cenas. https://t.co/pwNvB1SHbT,-1,-1,-1,-1,3,O autor devia nos poupar de ver essas cenas.,O autor devia nos poupar de ver essas cenas . 
4,4,2018-04-13 01:32:00,Duda vai morrer por causa dessa ordinaria? #OOutroLadoDoParaiso,-1,0,-1,-1,4,Duda vai morrer por causa dessa ordinaria?,Duda vai morrer por causa dessa ordinária ? 
5,5,2018-04-11 00:34:40,"ja perdeu a graça esse núcleo do Diretor do hospital
#OOutroLadoDoParaiso",-1,-1,-1,-1,5,ja perdeu a graça esse núcleo do Diretor do hospital,Já perdeu a graça esse núcleo do Diretor do hospital 
6,6,2018-04-12 00:26:19,Mas você não amava a Adriana Jo ? Falsa aaaaaaaaaa #OOutroLadoDoParaiso,-1,-1,-1,-1,6,Mas você não amava a Adriana Jo ? Falsa aaaaaaaaaa,Mas você não amava a Adriana Jô ? Falsa a 
7,7,2018-04-10 00:41:31,Renato maior canalha da telenovela  #Ooutroladodoparaiso @valcircarrasco,-1,-1,-1,-1,7,Renato maior canalha da telenovela,Renato maior canalha da telenovela 
8,8,2018-04-12 00:15:25,"Ahh Embuste doida por Rola, e ainda é  Arrogante! #OOutroLadoDoParaiso",-1,-1,-1,-1,8,"Ahh Embuste doida por Rola, e ainda é  Arrogante!","Ah Embuste doida por Rola , e ainda é Arrogante ! "
9,9,2018-04-10 00:29:45,"Clara fala chorando para o Patrick que ama o Gael... 
Dá pra ver q tá mentindo, né Patrick... #OOutroLadoDoParaiso",-1,-1,0,-1,9,"Clara fala chorando para o Patrick que ama o Gael... 
Dá pra ver q tá mentindo, né Patrick...","Clara fala chorando para o Patrick que ama o Gael ... Dá pra ver que tá mentindo , né Patrick ... "
10,10,2018-04-11 01:28:05,"achei que a clara ia mandar a mulher ir tomar no cu que susto
#OOutroLadoDoParaiso",-1,-1,0,-1,10,achei que a clara ia mandar a mulher ir tomar no cu que susto,Achei que a clara ia mandar a mulher ir tomar no cu que susto 
11,11,2018-04-12 00:18:42,Quando a Beth vai dá uns tapas na cara da Marisol vulgo Jô? Tá na hora já ! #OOutroLadoDoParaiso,-1,-1,-1,-1,11,Quando a Beth vai dá uns tapas na cara da Marisol vulgo Jô? Tá na hora já !,Quando a Beth vai dá uns tapas na cara da Marisol vulgo Jô ? Tá na hora já ! 
12,12,2018-04-14 00:27:24,Bruno é pior q o Dante #OOutroLadoDoParaiso,-1,-1,0,-1,12,Bruno é pior q o Dante,Bruno é pior que o Dante 
13,13,2018-04-10 01:01:30,Essa palhaçada do Gael bom sem condições né gente ? #OOutroLadoDoParaíso,-1,1,-1,-1,13,Essa palhaçada do Gael bom sem condições né gente ?,Essa palhaçada do Gael bom sem condições né gente ? 
14,14,2018-04-12 00:33:28,"Roubo o marido da ""amiga"" mas não dou meu rim! - Jô, bela, recatada e do lar. #OOutroLadoDoParaíso",1,-1,-1,-1,14,"Roubo o marido da ""amiga"" mas não dou meu rim! - Jô, bela, recatada e do lar.","Roubo o marido da "" amiga "" mas não dou meu rim ! - Jô , bela , recatada e do lar . "
15,15,2018-04-10 00:28:04,"Tudo culpa do encosto da Adriana, por que essa embuste não morre? #OOutroLadoDoParaíso",-1,-1,-1,-1,15,"Tudo culpa do encosto da Adriana, por que essa embuste não morre?","Tudo culpa do encosto da Adriana , por que essa embuste não morre ? "
16,16,2018-04-12 00:14:44,"#OOutroLadoDoParaiso

só falta a Adriana culpar a Beth pq tá com problemas nos rins",-1,-1,-1,-1,16,só falta a Adriana culpar a Beth pq tá com problemas nos rins,Só falta a Adriana culpar a Beth porque tá com problemas nos rins 
17,17,2018-04-13 01:08:08,#ooutroladodoparaiso coragem botar um espancador morando com a vítima parabéns @gshow podiam colocar esse incentivo… https://t.co/ZoV5R0uAXj,-1,1,-1,-1,17,coragem botar um espancador morando com a vítima parabéns  podiam colocar esse incentivo…,Coragem botar um espancador morando com a vítima parabéns podiam colocar esse incentivo… 
18,18,2018-04-10 00:27:57,"Que palhaçada é essa, Walcyr? Tá querendo mesmo juntar clara e o psicopata? ME POUPE! #OoutroLadoDoParaíso https://t.co/5nY8yNFDbp",-1,-1,-1,-1,18,"Que palhaçada é essa, Walcyr? Tá querendo mesmo juntar clara e o psicopata? ME POUPE!","Que palhaçada é essa , Walker ? Tá querendo mesmo juntar clara e o psicopata ? ME POUPE ! "
19,19,2018-04-11 01:30:41,ai patrick eu te amo mas não fode #OOutroLadoDoParaiso https://t.co/8G3PX4D8xR,1,-1,-1,-1,19,ai patrick eu te amo mas não fode,Ai Patrick eu te amo mas não pode 
20,20,2018-04-14 00:56:50,Renato depois que caiu a máscara de vilão se tornou um canastrão de primeira linha #OOutroLadoDoParaíso,-1,-1,0,-1,20,Renato depois que caiu a máscara de vilão se tornou um canastrão de primeira linha,Renato depois que caiu a máscara de vilão se tornou um canastrão de primeira linha 
21,21,2018-04-11 01:33:07,"Nao me aparece um Patrick na minha vida , mas na da Clara ..... Arfs #OOutroLadoDoParaiso",-1,0,-1,-1,21,"Nao me aparece um Patrick na minha vida , mas na da Clara ..... Arfs","Não me aparece um Patrick na minha vida , mas na da Clara ... Arfas "
22,22,2018-04-10 00:50:32,toma vergonha na cara walcyr carrasco forçando clara e gael  #ooutroladodoparaiso https://t.co/H2luzcPZKg,-1,-1,-1,-1,22,toma vergonha na cara walcyr carrasco forçando clara e gael,Toma vergonha na cara Walker carrasco forçando clara e Gael 
23,23,2018-04-13 01:08:09,"#OOutroLadoDoParaiso desnecessário essa palhaçada aí do Gael na casa da Clara... Ódio! Gael, te odeio",-1,-1,-1,-1,23,"desnecessário essa palhaçada aí do Gael na casa da Clara... Ódio! Gael, te odeio","Desnecessário essa palhaçada aí do Gael na casa da Clara ... Ódio ! Gael , te odeio "
24,24,2018-04-11 00:54:56,"Se o Amaro ficar cego ou não, ninguém se importa mesmo. #OOutroLadoDoParaíso",-1,-1,-1,-1,24,"Se o Amaro ficar cego ou não, ninguém se importa mesmo.","Se o Amaro ficar cego ou não , ninguém se importa mesmo . "
25,25,2018-04-13 00:41:35,"Essa novela é uma arriada ne mano,ta loco #OOutroLadoDoParaiso",-1,-1,-1,-1,25,"Essa novela é uma arriada ne mano,ta loco","Essa novela é uma arriada ne mano , está loco "
26,26,2018-04-12 00:15:16,Depois do julgamento da Beth a Adriana perdeu totalmente o sentido. Se eu fosse o outor teria matado ela naquele ac… https://t.co/hY83qzeYGA,-1,-1,-1,-1,26,Depois do julgamento da Beth a Adriana perdeu totalmente o sentido. Se eu fosse o outor teria matado ela naquele ac…,Depois do julgamento da Beth a Adriana perdeu totalmente o sentido . Se eu fosse o autor teria matado ela naquele ac… 
27,27,2018-04-13 01:31:10,bah meu que ranço da Adriana #OOutroLadoDoParaiso,-1,-1,-1,-1,27,bah meu que ranço da Adriana,Ba meu que ranço da Adriana 
28,28,2018-04-13 01:28:55,TOMA ADRIANA SUA BURRA IDIOTA!!!!!!!!! #OOutroLadoDoParaíso,-1,-1,1,-1,28,TOMA ADRIANA SUA BURRA IDIOTA!!!!!!!!!,TOMA Adriana SUA BURRA IDIOTA ! ! ! ! ! ! ! ! ! 
29,29,2018-04-14 00:54:56,"Clara, o papel de entojada é da Adriana. Não queira tomar o lugar dela #OOutroLadoDoParaiso",-1,-1,-1,-1,29,"Clara, o papel de entojada é da Adriana. Não queira tomar o lugar dela","Clara , o papel de entojada é da Adriana . Não queira tomar o lugar dela "
30,30,2018-04-12 00:14:07,"De novo, colocaram a Adriana na novela só pra me fazer sentir raiva e nojo, pqp #OOutroLadoDoParaiso",-1,-1,-1,-1,30,"De novo, colocaram a Adriana na novela só pra me fazer sentir raiva e nojo, pqp","De novo , colocaram a Adriana na novela só pra me fazer sentir raiva e nojo , puta que pariu "
31,31,2018-04-10 00:47:24,Com uma mãe dessa quem precisa de inimigos  #OOutroLadoDoParaiso,-1,-1,0,-1,31,Com uma mãe dessa quem precisa de inimigos,Com uma mãe dessa quem precisa de inimigos 
32,32,2018-04-13 00:53:46,Beth vai se matar 😱😱😱 #OOutroLadoDoParaiso,-1,-1,0,-1,32,Beth vai se matar 😱😱😱,Beth vai se matar 😱😱😱 
33,33,2018-04-11 01:34:33,"que final de novela mexicana, esse zoom socorro tô morrendo #OOutroLadoDoParaiso https://t.co/xsZrZpeLaX",-1,1,-1,-1,33,"que final de novela mexicana, esse zoom socorro tô morrendo","Que final de novela mexicana , esse zoom socorro tô morrendo "
34,34,2018-04-10 00:59:23,"#OOutroLadoDoParaiso
Me ajuda a te ajudar clara!!! https://t.co/o69O18tCP1",-1,0,-1,-1,34,Me ajuda a te ajudar clara!!!,Me ajuda a te ajudar clara ! ! ! 
35,35,2018-04-11 00:47:53,A mulher é  racista até mandandar parar ai aí o filho cagão vai la e fala que ela tinha COMENTÁRIOS  MALDOSOS. NAAA… https://t.co/TlnI7tzGng,-1,-1,-1,-1,35,A mulher é  racista até mandandar parar ai aí o filho cagão vai la e fala que ela tinha COMENTÁRIOS  MALDOSOS. NAAA…,A mulher é racista até mandando parar ai aí o filho cagão vai La e fala que ela tinha COMENTÁRIOS MALDOSOS . Naaa… 
36,36,2018-04-12 00:28:14,Vixe Sophião já ta ta bolada. #OOutroLadoDoParaíso,-1,-1,0,-1,36,Vixe Sophião já ta ta bolada.,Vice Copião já está está bolada . 
37,37,2018-04-11 01:09:58,"Thomaz puxou a escrotice de Ranciana!
#OOutroLadoDoParaiso",-1,-1,-1,-1,37,Thomaz puxou a escrotice de Ranciana!,Thomaz puxou a escrutine de Kantiana ! 
38,38,2018-04-10 00:26:00,#OOutroLadoDoParaiso AAAAAAA TADINHO DO MEU PATRICK,-1,-1,-1,-1,38,AAAAAAA TADINHO DO MEU PATRICK,AAAAAAA Todinho DO MEU Patrick 
39,39,2018-04-10 17:22:26,"Eu vejo o Patrick sofrendo e o meu coração parte no meio, dá vontade de pôr no colo, ai vai o vídeo show e joga na… https://t.co/3xzYdAQGzw",-1,-1,-1,-1,39,"Eu vejo o Patrick sofrendo e o meu coração parte no meio, dá vontade de pôr no colo, ai vai o vídeo show e joga na…","Eu vejo o Patrick sofrendo e o meu coração parte no meio , dá vontade de pôr no colo , ai vai o vídeo show e joga na… "
40,40,2018-04-13 00:52:35,Só falta a insuportável da Adriana saber que a Jô não presta aquela q ela tanto idolatrava #OOutroLadoDoParaíso,-1,-1,-1,-1,40,Só falta a insuportável da Adriana saber que a Jô não presta aquela q ela tanto idolatrava,Só falta a insuportável da Adriana saber que a Jô não presta aquela que ela tanto idolatrava 
41,41,2018-04-12 00:26:32,#OoutroLadoDoParaíso chocado com essa atitude da Jo !,-1,-1,-1,-1,41,chocado com essa atitude da Jo !,Chocado com essa atitude da Jô ! 
42,42,2018-04-14 00:21:52,Bruno é banana demais pra ser delegado #OOutroLadoDoParaiso,-1,-1,-1,-1,42,Bruno é banana demais pra ser delegado,Bruno é banana demais pra ser delegado 
43,43,2018-04-13 01:15:33,"Ficar amiga do cara que te espancou, Clara? Ahhhh me poupe! #OOutroLadoDoParaíso",-1,-1,-1,-1,43,"Ficar amiga do cara que te espancou, Clara? Ahhhh me poupe!","Ficar amiga do cara que te espancou , Clara ? Ahhhh me poupe ! "
44,44,2018-04-10 01:17:15,Desnecessário esse Diego!! Já podem mandar matar na tesourada!! #OOutroLadoDoParaiso,-1,-1,-1,-1,44,Desnecessário esse Diego!! Já podem mandar matar na tesourada!!,Desnecessário esse Diego ! ! Já podem mandar matar na tesourada ! ! 
45,45,2018-04-14 00:41:53,"#OOutroLadoDoParaiso Sério que o núcleo de Samuel deu esse passo ENORME pra trás? Assume, esconde. Tira casaco, bota casaco affff",-1,-1,-1,-1,45,"Sério que o núcleo de Samuel deu esse passo ENORME pra trás? Assume, esconde. Tira casaco, bota casaco affff","Sério que o núcleo de Samuel deu esse passo ENORME pra trás ? Assume , esconde . Tira casaco , bota casaco afofa "
46,46,2018-04-10 01:17:48,Esse Bruno é um bundão! Ainda não saiu da casa da mãe?! 🙄🙄🙄 #OOutroLadoDoParaiso pelo amoooor!!!!,-1,-1,-1,-1,46,Esse Bruno é um bundão! Ainda não saiu da casa da mãe?! 🙄🙄🙄  pelo amoooor!!!!,Esse Bruno é um fundão ! Ainda não saiu da casa da mãe ? ! 🙄🙄🙄 pelo amor ! ! ! ! 
