date,text,nagisa_score,laura_score,elisa_score,concordancy
2018-04-12 00:30:10,"#OOutroLadoDoParaíso.  Tomaz é um menino feliz. Ele comprova. Tem uma mãe dedicada, Lívia.",1,1,1,1
2018-04-10 01:32:59,até eu crushei esse entregador de pizza agr #OOutroLadoDoParaiso,1,1,1,1
2018-04-11 00:35:25,Linguística aplicada com um boy desses significa beijo grego! S2 #OOutroLadoDoParaiso,1,1,1,1
2018-04-10 01:05:59,Ala a música de boogie oogie tocando na chamada de #OndeNascemOsFortes 😍 #OOutroLadoDoParaíso,1,1,1,1
2018-04-14 01:27:49,"Minha BEATRIZ TA VIVAAAAAAA

#OOutroLadoDoParaíso",1,1,1,1
2018-04-14 01:27:03,A veia tá viva #OOutroLadoDoParaiso,1,1,0,1
2018-04-13 01:11:07,"#OOutroLadoDoParaíso
Tenho certeza  que o Mariano não morreu @sophiaabrahao  😂",1,0,1,1
2018-04-11 01:30:02,Veeeem Patrick nosso herói 💜#OOutroLadoDoParaíso,1,1,1,1
2018-04-14 01:11:59,"Produção to no chão se a chave do cofrinho é o que to pensando hahahaha
#OOutroLadoDoParaíso",1,1,1,1
2018-04-12 00:26:03,Ahhhhhh olha a máscara da Jô caindo!!! #OOutroLadoDoParaíso,1,1,1,1
2018-04-10 01:36:57,"""Todo mundo que sabia o que eu sei morreu."" (Xodó)
Faz sentido. #OOutroLadoDoParaíso",1,0,1,1
2018-04-14 00:37:28,Como condenar o Dr. Samuel se tratando do Cido né Brasil! Hahahahaha #Ooutroladodoparaíso,1,1,1,1
2018-04-14 01:28:15,"Gente esse carneirinho é muito lindo ne??

#OOutroLadoDoParaiso https://t.co/RjH2IisE9Y",1,1,1,1
2018-04-10 01:16:26,"Até que enfim Diego acordou pra vida, pediu a Melissa em casamento novamente  😅😍😍 #OOutroLadoDoParaíso",1,1,1,1
2018-04-10 01:01:34,E continua o processo de beatificação da personagem do Gael kkkkk #Ooutroladodoparaiso,1,1,-1,1
2018-04-11 00:44:22,me acabo com o Samuel e a Suzy KKKKK #OOutroLadoDoParaiso,1,1,1,1
2018-04-11 01:22:22,As primas indo tudo embora.. só vai restar a Maira kkkkk #OOutroLadoDoParaiso,1,1,1,1
2018-04-10 00:29:56,essa cena só ressaltando o quão boa é a Bin em cenas dramáticas #OOutroLadoDoParaíso,1,1,1,1
2018-04-11 00:48:51,Nádia é louca KKKKKKKKKKKKK #OOutroLadoDoParaíso,1,1,1,1
2018-04-14 22:48:20,"""Ela é imbatível"", o saudoso José Wilker sobre Gloria Pires! ♥ @gloriapires #OOutroLadoDoParaíso",1,1,1,1
2018-04-11 01:27:03,Radu ainda tá no páreo! ❤ #OOutroLadoDoParaiso,1,1,1,1
2018-04-10 00:49:54,"O tigrao tá voltando a ser tigrete rsrsrsrsrs, abre os olhos Susy,  e guarda bem a sua lingerie vermelha #OOutroLadoDoParaiso",1,0,1,1
2018-04-14 00:39:25,Patrick cadê você? Tô aqui só pra te verrrrrr. Kkkkkkkkkkk  #OOutroLadoDoParaiso,1,1,1,1
2018-04-14 00:43:06,"É, amor é amor!! Ciduel #OOutroLadodoParaíso",1,1,1,1
2018-04-10 01:30:17,PORQUE AQUI NAO TEM UM ENTREGADOR DE PIZZA GOSTOSO ASSIM????? #OOutroLadoDoParaiso,1,1,1,1
2018-04-10 00:35:43,Leandra  e Gael juntos é química que chama né? #OOutroLadoDoParaiso,1,0,1,1
2018-04-12 00:26:37,Eu amo a atuaçao da barbara paz eh isso #OOutroLadoDoParaiso,1,1,1,1
2018-04-10 00:31:22,"MEU CLARICK
#clarick #OOutroLadoDoParaiso https://t.co/nv3d1ssAXS",1,0,1,1
2018-04-11 01:12:20,"A Lívia pode ser até louca, mas ela realmente ama o Tomaz, de uma forma pura, do jeito dela.❤ #OOutroLadoDoParaíso",1,1,1,1
2018-04-12 04:45:40,"Assistindo os capítulos atrasados de #OOutroLadoDoParaíso

Nossa, me emocionei demais com a Lívia descobrindo que e… https://t.co/SjqwoOF2fb",1,1,1,1
2018-04-10 01:28:18,Que cena linda essa da Nadia e da Raquel! 🏻Que atrizes maravilhosas 👏👏👏  #OOutroLadoDoParaíso,1,1,1,1
2018-04-13 01:35:13,"Minha mãe dizendo aqui que faria o mesmo que a Beth está fazendo agora.... Mãe é mãe ❤️

#OOutroLadoDoParaiso",1,1,1,1
2018-04-14 01:30:40,Vou já ligar para @fragosothiago pra vir dormir comigo hoje. #OOutroLadoDoParaiso,1,0,1,1
2018-04-10 01:00:48,"E essa voz do Gael, hein.. MEU DEUS! #OOutroLadoDoParaiso https://t.co/06GeOAbGIn",1,0,1,1
2018-04-11 23:58:36,Essa Juiza é lindaaaaa #OOutroLadoDoParaiso https://t.co/HBsqksH5j8,1,1,1,1
