,Unnamed: 0,date,text,nagisa_score,laura_score,elisa_score,concordancy,id,text_clean,text_normalized
0,0,2018-04-12 00:30:10,"#OOutroLadoDoParaíso.  Tomaz é um menino feliz. Ele comprova. Tem uma mãe dedicada, Lívia.",1.0,1.0,1.0,1.0,0,"Tomaz é um menino feliz. Ele comprova. Tem uma mãe dedicada, Lívia.","Tomaz é um menino feliz . Ele comprova . Tem uma mãe dedicada , Lívia . "
1,1,2018-04-10 01:32:59,até eu crushei esse entregador de pizza agr #OOutroLadoDoParaiso,1.0,1.0,1.0,1.0,1,até eu crushei esse entregador de pizza agr,Até eu cruzei esse entregador de pizza agora 
2,2,2018-04-11 00:35:25,Linguística aplicada com um boy desses significa beijo grego! S2 #OOutroLadoDoParaiso,1.0,1.0,1.0,1.0,2,Linguística aplicada com um boy desses significa beijo grego! S2,Linguística aplicada com um boy desses significa beijo grego ! S2 
3,3,2018-04-10 01:05:59,Ala a música de boogie oogie tocando na chamada de #OndeNascemOsFortes 😍 #OOutroLadoDoParaíso,1.0,1.0,1.0,1.0,3,Ala a música de boogie oogie tocando na chamada de  😍,Ala a música de Boogie jogue tocando na chamada de 😍 
4,4,2018-04-14 01:27:49,"Minha BEATRIZ TA VIVAAAAAAA

#OOutroLadoDoParaíso",1.0,1.0,1.0,1.0,4,Minha BEATRIZ TA VIVAAAAAAA,Minha Beatriz está VIVAAAAAAA 
5,5,2018-04-14 01:27:03,A veia tá viva #OOutroLadoDoParaiso,1.0,1.0,0.0,1.0,5,A veia tá viva,A veia tá viva 
6,6,2018-04-13 01:11:07,"#OOutroLadoDoParaíso
Tenho certeza  que o Mariano não morreu @sophiaabrahao  😂",1.0,0.0,1.0,1.0,6,Tenho certeza  que o Mariano não morreu   😂,Tenho certeza que o Mariano não morreu 😂 
7,7,2018-04-11 01:30:02,Veeeem Patrick nosso herói 💜#OOutroLadoDoParaíso,1.0,1.0,1.0,1.0,7,Veeeem Patrick nosso herói 💜,Veem Patrick nosso herói 💜 
8,8,2018-04-14 01:11:59,"Produção to no chão se a chave do cofrinho é o que to pensando hahahaha
#OOutroLadoDoParaíso",1.0,1.0,1.0,1.0,8,Produção to no chão se a chave do cofrinho é o que to pensando hahahaha,Produção estou no chão se a chave do cofrinho é o que estou pensando hahahaha 
9,9,2018-04-12 00:26:03,Ahhhhhh olha a máscara da Jô caindo!!! #OOutroLadoDoParaíso,1.0,1.0,1.0,1.0,9,Ahhhhhh olha a máscara da Jô caindo!!!,Ahhhhhh olha a máscara da Jô caindo ! ! ! 
10,10,2018-04-10 01:36:57,"""Todo mundo que sabia o que eu sei morreu."" (Xodó)
Faz sentido. #OOutroLadoDoParaíso",1.0,0.0,1.0,1.0,10,"""Todo mundo que sabia o que eu sei morreu."" (Xodó)
Faz sentido.",""" Todo mundo que sabia o que eu sei morreu . "" ( Xodó ) Faz sentido . "
11,11,2018-04-14 00:37:28,Como condenar o Dr. Samuel se tratando do Cido né Brasil! Hahahahaha #Ooutroladodoparaíso,1.0,1.0,1.0,1.0,11,Como condenar o Dr. Samuel se tratando do Cido né Brasil! Hahahahaha,Como condenar o DR . Samuel se tratando do Sido né Brasil ! Hahahahaha 
