date,text,nagisa_score,laura_score,elisa_score,concordancy
2018-04-10 00:46:55,"Aiiiiiiiiii que Ódio , devolvam meu Clarick . #OOutroLadoDoParaiso",-1,-1,-1,-1
2018-04-13 00:38:43,"A Walcyra já fez tanta merda nessa novela que não custava nada matar a coach de Taubaté. 
Por favorzinho, Walcyra. 
#OOutroLadoDoParaíso",-1,-1,-1,-1
2018-04-12 12:58:49,Decepção me define com oq acabo de ler espero qseja mentira  clara vai se casar SÓ no último capítulo e ainda vão f… https://t.co/EJ4jGi1pBy,-1,-1,-1,-1
2018-04-13 00:44:37,#OOutroLadoDoParaiso O autor devia nos poupar de ver essas cenas. https://t.co/pwNvB1SHbT,-1,-1,-1,-1
2018-04-13 01:32:00,Duda vai morrer por causa dessa ordinaria? #OOutroLadoDoParaiso,-1,0,-1,-1
2018-04-11 00:34:40,"ja perdeu a graça esse núcleo do Diretor do hospital
#OOutroLadoDoParaiso",-1,-1,-1,-1
2018-04-12 00:26:19,Mas você não amava a Adriana Jo ? Falsa aaaaaaaaaa #OOutroLadoDoParaiso,-1,-1,-1,-1
2018-04-10 00:41:31,Renato maior canalha da telenovela  #Ooutroladodoparaiso @valcircarrasco,-1,-1,-1,-1
2018-04-12 00:15:25,"Ahh Embuste doida por Rola, e ainda é  Arrogante! #OOutroLadoDoParaiso",-1,-1,-1,-1
2018-04-10 00:29:45,"Clara fala chorando para o Patrick que ama o Gael... 
Dá pra ver q tá mentindo, né Patrick... #OOutroLadoDoParaiso",-1,-1,0,-1
2018-04-11 01:28:05,"achei que a clara ia mandar a mulher ir tomar no cu que susto
#OOutroLadoDoParaiso",-1,-1,0,-1
2018-04-12 00:18:42,Quando a Beth vai dá uns tapas na cara da Marisol vulgo Jô? Tá na hora já ! #OOutroLadoDoParaiso,-1,-1,-1,-1
2018-04-14 00:27:24,Bruno é pior q o Dante #OOutroLadoDoParaiso,-1,-1,0,-1
2018-04-10 01:01:30,Essa palhaçada do Gael bom sem condições né gente ? #OOutroLadoDoParaíso,-1,1,-1,-1
2018-04-12 00:33:28,"Roubo o marido da ""amiga"" mas não dou meu rim! - Jô, bela, recatada e do lar. #OOutroLadoDoParaíso",1,-1,-1,-1
2018-04-10 00:28:04,"Tudo culpa do encosto da Adriana, por que essa embuste não morre? #OOutroLadoDoParaíso",-1,-1,-1,-1
2018-04-12 00:14:44,"#OOutroLadoDoParaiso

só falta a Adriana culpar a Beth pq tá com problemas nos rins",-1,-1,-1,-1
2018-04-13 01:08:08,#ooutroladodoparaiso coragem botar um espancador morando com a vítima parabéns @gshow podiam colocar esse incentivo… https://t.co/ZoV5R0uAXj,-1,1,-1,-1
2018-04-10 00:27:57,"Que palhaçada é essa, Walcyr? Tá querendo mesmo juntar clara e o psicopata? ME POUPE! #OoutroLadoDoParaíso https://t.co/5nY8yNFDbp",-1,-1,-1,-1
2018-04-11 01:30:41,ai patrick eu te amo mas não fode #OOutroLadoDoParaiso https://t.co/8G3PX4D8xR,1,-1,-1,-1
2018-04-14 00:56:50,Renato depois que caiu a máscara de vilão se tornou um canastrão de primeira linha #OOutroLadoDoParaíso,-1,-1,0,-1
2018-04-11 01:33:07,"Nao me aparece um Patrick na minha vida , mas na da Clara ..... Arfs #OOutroLadoDoParaiso",-1,0,-1,-1
2018-04-10 00:50:32,toma vergonha na cara walcyr carrasco forçando clara e gael  #ooutroladodoparaiso https://t.co/H2luzcPZKg,-1,-1,-1,-1
2018-04-13 01:08:09,"#OOutroLadoDoParaiso desnecessário essa palhaçada aí do Gael na casa da Clara... Ódio! Gael, te odeio",-1,-1,-1,-1
2018-04-11 00:54:56,"Se o Amaro ficar cego ou não, ninguém se importa mesmo. #OOutroLadoDoParaíso",-1,-1,-1,-1
2018-04-13 00:41:35,"Essa novela é uma arriada ne mano,ta loco #OOutroLadoDoParaiso",-1,-1,-1,-1
