date,text,nagisa_score,laura_score,elisa_score
2018-04-12 00:30:10,"#OOutroLadoDoParaíso.  Tomaz é um menino feliz. Ele comprova. Tem uma mãe dedicada, Lívia.",1,1,1
2018-04-10 01:32:59,até eu crushei esse entregador de pizza agr #OOutroLadoDoParaiso,1,1,1
2018-04-10 00:46:55,"Aiiiiiiiiii que Ódio , devolvam meu Clarick . #OOutroLadoDoParaiso",-1,-1,-1
2018-04-13 00:38:43,"A Walcyra já fez tanta merda nessa novela que não custava nada matar a coach de Taubaté. 
Por favorzinho, Walcyra. 
#OOutroLadoDoParaíso",-1,-1,-1
2018-04-12 12:58:49,Decepção me define com oq acabo de ler espero qseja mentira  clara vai se casar SÓ no último capítulo e ainda vão f… https://t.co/EJ4jGi1pBy,-1,-1,-1
2018-04-13 00:44:37,#OOutroLadoDoParaiso O autor devia nos poupar de ver essas cenas. https://t.co/pwNvB1SHbT,-1,-1,-1
2018-04-13 01:32:00,Duda vai morrer por causa dessa ordinaria? #OOutroLadoDoParaiso,-1,0,-1
2018-04-12 00:19:16,Lapada na rachada  #OOutroLadoDoParaíso,0,0,0
2018-04-11 00:34:40,"ja perdeu a graça esse núcleo do Diretor do hospital
#OOutroLadoDoParaiso",-1,-1,-1
2018-04-14 01:10:35,"Plantão, mores! Plantão, mores! #OOutroLadoDoParaiso https://t.co/wYXzu1S50U",0,0,0
2018-04-10 01:08:02,"Eu esperando a cena de Nádia e Raquel. 
#OOutroLadoDoParaiso https://t.co/agJ9rFuP9L",1,0,0
2018-04-12 00:26:19,Mas você não amava a Adriana Jo ? Falsa aaaaaaaaaa #OOutroLadoDoParaiso,-1,-1,-1
2018-04-13 00:49:57,Barbara Paz de Paz n tem é nada #OOutroLadodoParaíso,-1,0,0
2018-04-13 01:16:36,Eu vendo as cenas do Amaro e a Estela #OOutroLadoDoParaíso https://t.co/BIDlVhtl7q,0,0,0
2018-04-10 00:41:31,Renato maior canalha da telenovela  #Ooutroladodoparaiso @valcircarrasco,-1,-1,-1
2018-04-11 00:35:25,Linguística aplicada com um boy desses significa beijo grego! S2 #OOutroLadoDoParaiso,1,1,1
2018-04-12 00:15:25,"Ahh Embuste doida por Rola, e ainda é  Arrogante! #OOutroLadoDoParaiso",-1,-1,-1
2018-04-11 01:34:37,Que close de novela mexicana #OoutroLadoDoParaíso,0,0,0
2018-04-12 00:40:00,Gael revela a Bruno que Sophia matou Mariano em #Ooutroladodoparaíso https://t.co/xwBhUXkfgb https://t.co/bOY9Si1qAZ,0,0,0
2018-04-13 12:10:57,A Cleo quando ta a ouvir as vozes e a música parece eu quando não consigo espirrar. Cara de espirro que nunca vem. #OOutroLadoDoParaiso,0,-1,0
2018-04-12 00:28:52,"#OOutroLadoDoParaíso
Não vou doar meu rim. https://t.co/xvZp6UO4gE",0,-1,0
2018-04-10 00:29:45,"Clara fala chorando para o Patrick que ama o Gael... 
Dá pra ver q tá mentindo, né Patrick... #OOutroLadoDoParaiso",-1,-1,0
2018-04-12 00:26:08,Nera Jô que amava a Adriana nera? #OOutroLadoDoParaíso,0,0,0
2018-04-10 01:05:59,Ala a música de boogie oogie tocando na chamada de #OndeNascemOsFortes 😍 #OOutroLadoDoParaíso,1,1,1
2018-04-11 01:28:05,"achei que a clara ia mandar a mulher ir tomar no cu que susto
#OOutroLadoDoParaiso",-1,-1,0
